mean_fit_time|params|mean_test_accuracy|std_test_accuracy|mean_test_f1|std_test_f1|mean_test_balanced_accuracy|std_test_balanced_accuracy|mean_test_roc_auc|std_test_roc_auc|Model|Dataset
8.204736471176147|{'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'n_estimators': 30, 'n_jobs': -1}|0.6900157373833459|0.018679715720804946|0.716755857356604|0.013722574592594678|0.6898744673849764|0.018707587671831342|0.7567594801916238|0.013243600695374386|RandomForestClassifier()|ADASYN Equal Class TSNE
26.36671118736267|{'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'n_estimators': 100, 'n_jobs': -1}|0.6909385052180929|0.017797651629718338|0.7136382467383395|0.014455058961092502|0.690820115696309|0.017810835615485472|0.7552131488508569|0.014309044095805922|RandomForestClassifier()|ADASYN Equal Class TSNE
8.148785638809205|{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 30, 'n_jobs': -1}|0.6917401859521839|0.017119965344087815|0.7153177960503092|0.013475865485134136|0.6916163973821411|0.01713787490881732|0.7474791276789368|0.018498900689587146|RandomForestClassifier()|ADASYN Equal Class TSNE
27.38322353363037|{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 100, 'n_jobs': -1}|0.6922959915291755|0.015695065224524136|0.71601608563604|0.012817506798058674|0.6921709490337075|0.015709077157569033|0.7536328528271332|0.013412192828944592|RandomForestClassifier()|ADASYN Equal Class TSNE
13.577264499664306|{'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'n_estimators': 30, 'n_jobs': -1}|0.7992261640898699|0.012145142889567768|0.8132864372009511|0.012722402661926728|0.7991126963900017|0.012134743203970599|0.8787887248865862|0.011596744393236363|RandomForestClassifier()|ADASYN Equal Class TSNE
44.182741737365724|{'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'n_estimators': 100, 'n_jobs': -1}|0.7989553846637888|0.01316244129628804|0.8130195183563365|0.013175052024493263|0.7988422975083542|0.013155376034546553|0.8776126913464305|0.01276286316843945|RandomForestClassifier()|ADASYN Equal Class TSNE
13.69840898513794|{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 30, 'n_jobs': -1}|0.7917974481953004|0.012679185761859444|0.8062385853454526|0.013095237178597636|0.7916852155113996|0.012668765986772095|0.8731994677144843|0.014209234240431303|RandomForestClassifier()|ADASYN Equal Class TSNE
44.31601548194885|{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 100, 'n_jobs': -1}|0.7972701383110866|0.015640941539251774|0.8113723237285664|0.015510623307676781|0.7971576664703077|0.015633977781034644|0.8779572958826058|0.01350773110397084|RandomForestClassifier()|ADASYN Equal Class TSNE
10.557879781723022|{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'auto', 'n_estimators': 30, 'n_jobs': -1}|0.674794935182975|0.014508409493271484|0.7051054610569208|0.010908340641363415|0.6746401964614902|0.014531449825902877|0.7440303082006972|0.012967938747842557|RandomForestClassifier()|ADASYN Equal Class TSNE
34.721008491516116|{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'auto', 'n_estimators': 100, 'n_jobs': -1}|0.6808697036769018|0.012435307769202717|0.7113353499967245|0.01237060765445377|0.6807102267215501|0.012438507368927508|0.7480162612584618|0.010787712579064036|RandomForestClassifier()|ADASYN Equal Class TSNE
10.694953536987304|{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 30, 'n_jobs': -1}|0.6838055219559002|0.008542172596537253|0.7115693047998324|0.009064140546932976|0.6836604585155498|0.00853799025601062|0.746065872560491|0.011108270609768343|RandomForestClassifier()|ADASYN Equal Class TSNE
34.99137363433838|{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 100, 'n_jobs': -1}|0.6803994011085772|0.013008465548208337|0.7113242969403476|0.010828642022013715|0.6802380997435764|0.013019207497059633|0.7459760974175996|0.011211167727521166|RandomForestClassifier()|ADASYN Equal Class TSNE
19.13313775062561|{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'n_estimators': 30, 'n_jobs': -1}|0.7923497432340689|0.013260048943777211|0.8066011720196029|0.013529998076626875|0.7922388429843334|0.013251537028596373|0.8699877494155877|0.01319992746964516|RandomForestClassifier()|ADASYN Equal Class TSNE
61.334976291656496|{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'n_estimators': 100, 'n_jobs': -1}|0.7896668491165257|0.012598745422585664|0.8044589810306884|0.012975970037134814|0.7895529943553596|0.012589347590218293|0.8715856129793002|0.011824019524364604|RandomForestClassifier()|ADASYN Equal Class TSNE
19.018510627746583|{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 30, 'n_jobs': -1}|0.7860255604187122|0.012536552695291733|0.8018104963576456|0.012643883210480886|0.7859057514648169|0.012529725160047606|0.8695217606092379|0.011319032005700193|RandomForestClassifier()|ADASYN Equal Class TSNE
54.55018720626831|{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 100, 'n_jobs': -1}|0.7888010481872524|0.011567074200359965|0.80394200210732|0.012519839134989752|0.7886845597002843|0.011553749018489668|0.870398210984451|0.010877840881439027|RandomForestClassifier()|ADASYN Equal Class TSNE
