mean_fit_time|params|mean_test_accuracy|std_test_accuracy|mean_test_f1|std_test_f1|mean_test_balanced_accuracy|std_test_balanced_accuracy|mean_test_roc_auc|std_test_roc_auc|Model|Dataset
16.89857931137085|{'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'n_estimators': 30, 'n_jobs': -1}|0.8048365493903532|0.0029049740961922085|0.8134967269061889|0.0029416890010014584|0.8048365793509985|0.002904871725668176|0.8837534101549236|0.0013090198491018613|RandomForestClassifier()|SMOTE Equal ClassPCA
55.78211464881897|{'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'n_estimators': 100, 'n_jobs': -1}|0.8057072148550821|0.0016988818947828777|0.8146350955994267|0.0013434734150625156|0.8057072201143762|0.0016984413788968897|0.8850968856849285|0.0016549156303726472|RandomForestClassifier()|SMOTE Equal ClassPCA
17.46766014099121|{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 30, 'n_jobs': -1}|0.8042620397244576|0.0027559757572761003|0.8137748936216551|0.002657305322527889|0.804262085664817|0.002755741975878256|0.8837583448753916|0.0005231511102500938|RandomForestClassifier()|SMOTE Equal ClassPCA
57.973986101150516|{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 100, 'n_jobs': -1}|0.8060783305523616|0.001545580024486413|0.8151151851492028|0.0020665918897918223|0.8060783163303634|0.0015454988223880621|0.8850554863213299|0.0018457876614617682|RandomForestClassifier()|SMOTE Equal ClassPCA
29.06764030456543|{'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'n_estimators': 30, 'n_jobs': -1}|0.8841180206206646|0.0016222417822595958|0.8907151658701477|0.001445177532590219|0.8841179955857894|0.0016223378622269133|0.9492946556279301|0.0006094579744002816|RandomForestClassifier()|SMOTE Equal ClassPCA
94.2234133720398|{'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'n_estimators': 100, 'n_jobs': -1}|0.8866087261784678|0.001244619949404959|0.8929490762254403|0.0012412951996221857|0.8866086968147346|0.0012446179479097604|0.951096800453333|0.0008557494846297944|RandomForestClassifier()|SMOTE Equal ClassPCA
29.17375965118408|{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 30, 'n_jobs': -1}|0.8847460491512444|0.0011647466571102882|0.8911546077161994|0.0015014226813240394|0.8847460244984354|0.0011644740797730213|0.949591148669097|0.0010196483168396057|RandomForestClassifier()|SMOTE Equal ClassPCA
96.83360948562623|{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 100, 'n_jobs': -1}|0.8860020973629437|0.000390417092022475|0.8923477367025658|0.00045378123962854086|0.8860020672990119|0.00039042788754127777|0.9507677361677164|0.0008483886141857805|RandomForestClassifier()|SMOTE Equal ClassPCA
23.942532444000243|{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'auto', 'n_estimators': 30, 'n_jobs': -1}|0.8044654238886352|0.0016831481581018246|0.8142398457394358|0.002173397780837043|0.804465438952161|0.0016827993182486735|0.8826966781282218|0.0007517452570814134|RandomForestClassifier()|SMOTE Equal ClassPCA
77.28507952690124|{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'auto', 'n_estimators': 100, 'n_jobs': -1}|0.805353952403714|0.001665007524866442|0.8154381569170616|0.0014859465101904495|0.8053539495775637|0.0016646351047261824|0.8848628606925238|0.0012301305897444593|RandomForestClassifier()|SMOTE Equal ClassPCA
23.64325523376465|{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 30, 'n_jobs': -1}|0.8026669899992231|0.0013733031960296944|0.8128973728854785|0.0015123293466560044|0.8026669658452562|0.0013733905355393585|0.8821651486051859|0.0024773234697122253|RandomForestClassifier()|SMOTE Equal ClassPCA
79.74100975990295|{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 100, 'n_jobs': -1}|0.8045011152918086|0.0021310503820753507|0.8147215389678999|0.002413688181666373|0.8045011050805695|0.0021309145934874517|0.8848137855475354|0.0011748162038886574|RandomForestClassifier()|SMOTE Equal ClassPCA
41.64630961418152|{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'n_estimators': 30, 'n_jobs': -1}|0.8820626466492527|0.0024641863723112735|0.8889107104556591|0.0019809585003037443|0.8820626275986712|0.002464001248064833|0.9493838337897108|0.0022787207367405207|RandomForestClassifier()|SMOTE Equal ClassPCA
136.91858067512513|{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'n_estimators': 100, 'n_jobs': -1}|0.882558650456879|0.0008507265081720882|0.8893676983390186|0.000653861585843922|0.882558641210554|0.0008509879063074716|0.9499106541369449|0.001078784103809455|RandomForestClassifier()|SMOTE Equal ClassPCA
42.99869694709778|{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 30, 'n_jobs': -1}|0.8812026814558752|0.0019862098156677587|0.8882319870579645|0.002094515921893942|0.8812026641876735|0.0019860658469128645|0.9487183665615604|0.0010337256374386371|RandomForestClassifier()|SMOTE Equal ClassPCA
118.51267347335815|{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 100, 'n_jobs': -1}|0.881884227195845|0.000674132811855609|0.8888051077128492|0.0006149873295702895|0.8818842353298295|0.000674345621602491|0.9499827149794366|0.0011905404075363607|RandomForestClassifier()|SMOTE Equal ClassPCA
